"Story","Title","Result","Date","Stability","Duration (s)"
"I as a user need to consume an api","consult api","SUCCESS","2021-11-05T10:03:13.384-05:00[America/Bogota]","0.0","3.85"
"I as a user need to consume an api","consult name","SUCCESS","2021-11-05T11:22:10.507-05:00[America/Bogota]","0.0","3.85"
