"Story","Title","Result","Date","Stability","Duration (s)"
"As a user of the service, I need to consult the fields of the service","Smoke Test","SUCCESS","2021-11-10T15:44:50.494-05:00[America/Bogota]","0.0","2.57"
"As a user of the service, I need to consult the fields of the service","Consult year equal ID","SUCCESS","2021-11-10T15:44:53.635-05:00[America/Bogota]","0.0","0.26"
